,index,Season,seasonStart,seasonEnd,team,opposition,result,ho/Aw,date,teamPoints,team_form_2games,team_form_3games,team_form_4games,team_form_5games,opp_form_2games,opp_form_3games,opp_form_4games,opp_form_5games,diff_2_game_form,diff_3_game_form,diff_4_game_form,diff_5_game_form,ho/Aw_binary,py_T_Leag_Pos,py_O_Leag_Pos,leagueDifference,monthNumber
120,120,1995-96,1995,1996,Arsenal,Liverpool,Draw,Home,1996-05-01,1,2,2,5,8,4,7,7,10,-2,-5,-2,-2,1,12.0,4.0,8.0,10
121,121,1995-96,1995,1996,Arsenal,Bolton,Win,Home,1996-05-04,3,2,3,3,6,0,3,3,4,2,0,0,2,1,12.0,21.0,-9.0,10
122,122,1996-97,1996,1997,Arsenal,West Ham,Win,Home,1996-08-17,3,4,5,6,6,1,2,5,5,3,3,1,1,1,5.0,10.0,-5.0,1
123,123,1996-97,1996,1997,Arsenal,Liverpool,Loss,Away,1996-08-19,0,6,7,8,9,2,3,6,7,4,4,2,2,0,5.0,3.0,2.0,1
124,124,1996-97,1996,1997,Arsenal,Leicester,Win,Away,1996-08-24,3,3,6,7,8,4,5,6,9,-1,1,1,-1,0,5.0,21.0,-16.0,1
125,125,1996-97,1996,1997,Arsenal,Chelsea,Draw,Home,1996-09-04,1,3,6,9,10,6,7,7,8,-3,-1,2,2,1,5.0,11.0,-6.0,2
126,126,1996-97,1996,1997,Arsenal,Aston Villa,Draw,Away,1996-09-07,1,4,4,7,10,6,9,9,9,-2,-5,-2,1,0,5.0,4.0,1.0,2
127,127,1996-97,1996,1997,Arsenal,Sheffield Weds,Win,Home,1996-09-16,3,2,5,5,8,3,6,9,12,-1,-1,-4,-4,1,5.0,15.0,-10.0,2
128,128,1996-97,1996,1997,Arsenal,Middlesbrough,Win,Away,1996-09-21,3,4,5,8,8,6,9,10,10,-2,-4,-2,-2,0,5.0,12.0,-7.0,2
129,129,1996-97,1996,1997,Arsenal,Sunderland,Win,Home,1996-09-28,3,6,7,8,11,3,4,4,5,3,3,4,6,1,5.0,21.0,-16.0,2
130,130,1996-97,1996,1997,Arsenal,Blackburn,Win,Away,1996-10-12,3,6,9,10,11,2,2,2,2,4,7,8,9,0,5.0,7.0,-2.0,3
131,131,1996-97,1996,1997,Arsenal,Coventry,Draw,Home,1996-10-19,1,6,9,12,13,2,2,5,5,4,7,7,8,1,5.0,16.0,-11.0,3
132,132,1996-97,1996,1997,Arsenal,Leeds,Win,Home,1996-10-26,3,4,7,10,13,3,3,3,3,1,4,7,10,1,5.0,13.0,-8.0,3
133,133,1996-97,1996,1997,Arsenal,Wimbledon,Draw,Away,1996-11-02,1,4,7,10,13,4,7,10,13,0,0,0,0,0,5.0,14.0,-9.0,4
134,134,1996-97,1996,1997,Arsenal,Man United,Loss,Away,1996-11-16,0,4,5,8,11,0,0,3,6,4,5,5,5,0,5.0,1.0,4.0,4
135,135,1996-97,1996,1997,Arsenal,Tottenham,Win,Home,1996-11-24,3,1,4,5,8,6,6,9,12,-5,-2,-4,-4,1,5.0,8.0,-3.0,4
136,136,1996-97,1996,1997,Arsenal,Newcastle,Win,Away,1996-11-30,3,3,4,7,8,2,5,5,8,1,-1,2,0,0,5.0,2.0,3.0,4
137,137,1996-97,1996,1997,Arsenal,Southampton,Win,Home,1996-12-04,3,6,6,7,10,0,0,1,4,6,6,6,6,1,5.0,17.0,-12.0,5
138,138,1996-97,1996,1997,Arsenal,Derby,Draw,Home,1996-12-07,1,6,9,9,10,4,7,10,10,2,2,-1,0,1,5.0,21.0,-16.0,5
139,139,1996-97,1996,1997,Arsenal,Nott'm Forest,Loss,Away,1996-12-21,0,4,7,10,10,1,1,2,2,3,6,8,8,0,5.0,9.0,-4.0,5
140,140,1996-97,1996,1997,Arsenal,Sheffield Weds,Draw,Away,1996-12-26,1,1,4,7,10,2,5,6,7,-1,-1,1,3,0,5.0,15.0,-10.0,5
141,141,1996-97,1996,1997,Arsenal,Aston Villa,Draw,Home,1996-12-28,1,1,2,5,8,3,6,9,12,-2,-4,-4,-4,1,5.0,4.0,1.0,5
142,142,1996-97,1996,1997,Arsenal,Middlesbrough,Win,Home,1997-01-01,3,2,2,3,6,3,3,4,4,-1,-1,-1,2,1,5.0,12.0,-7.0,6
143,143,1996-97,1996,1997,Arsenal,Sunderland,Loss,Away,1997-01-11,0,4,5,5,6,1,4,4,7,3,1,1,-1,0,5.0,21.0,-16.0,6
144,144,1996-97,1996,1997,Arsenal,Everton,Win,Home,1997-01-19,3,3,4,5,5,0,0,0,1,3,4,5,4,1,5.0,6.0,-1.0,6
145,145,1996-97,1996,1997,Arsenal,West Ham,Win,Away,1997-01-29,3,3,6,7,8,1,1,4,4,2,5,3,4,0,5.0,10.0,-5.0,6
146,146,1996-97,1996,1997,Arsenal,Leeds,Draw,Away,1997-02-01,1,6,6,9,10,4,7,7,7,2,-1,2,3,0,5.0,13.0,-8.0,7
147,147,1996-97,1996,1997,Arsenal,Tottenham,Draw,Away,1997-02-15,1,4,7,7,10,3,3,3,3,1,4,4,7,0,5.0,8.0,-3.0,7
148,148,1996-97,1996,1997,Arsenal,Man United,Loss,Home,1997-02-19,0,2,5,8,8,6,9,12,13,-4,-4,-4,-5,1,5.0,1.0,4.0,7
149,149,1996-97,1996,1997,Arsenal,Wimbledon,Loss,Home,1997-02-23,0,1,2,5,8,1,1,2,5,0,1,3,3,1,5.0,14.0,-9.0,7
150,150,1996-97,1996,1997,Arsenal,Everton,Win,Away,1997-03-01,3,0,1,2,5,4,4,4,4,-4,-3,-2,1,0,5.0,6.0,-1.0,8
151,151,1996-97,1996,1997,Arsenal,Nott'm Forest,Win,Home,1997-03-08,3,3,3,4,5,3,4,4,4,0,-1,0,1,1,5.0,9.0,-4.0,8
152,152,1996-97,1996,1997,Arsenal,Southampton,Win,Away,1997-03-15,3,6,6,6,7,2,5,6,6,4,1,0,1,0,5.0,17.0,-12.0,8
153,153,1996-97,1996,1997,Arsenal,Liverpool,Loss,Home,1997-03-24,0,6,9,9,9,4,4,5,8,2,5,4,1,1,5.0,3.0,2.0,8
154,154,1996-97,1996,1997,Arsenal,Chelsea,Win,Away,1997-04-05,3,3,6,9,9,3,6,6,7,0,0,3,2,0,5.0,11.0,-6.0,9
155,155,1996-97,1996,1997,Arsenal,Leicester,Win,Home,1997-04-12,3,3,6,9,12,2,3,3,4,1,3,6,8,1,5.0,21.0,-16.0,9
156,156,1996-97,1996,1997,Arsenal,Blackburn,Draw,Home,1997-04-19,1,6,6,9,12,1,1,1,4,5,5,8,8,1,5.0,7.0,-2.0,9
